"Nom";"ISIN";"Symbole";"Marché";"Trading Currency";"Ouvert";"Haut";"Bas";"Dernier";"Last Date/Time";"Time Zone";"Volume";"Capitaux"
"European Equities";"";;;;;;;;;;;
"02 Nov 2013";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"GALENICA N";"CH0015536466";"GALNz";"NYSE Arca Europe";"CHF";"547,00";"547,00";"547,00";"547,00";"01/11/2012 14:08";"CET";"18";"9846,00"
"GALEO";"FR0011100759";"MLGAL";"Marché Libre Paris";"EUR";"13,99";"13,99";"13,99";"13,99";"25/10/2013 15:00";"CET";"1";"13,99"
"GALLIFORD TRY";"GB00B3Y2J508";"GFRDl";"NYSE Arca Europe";"GBX";"985,50";"988,00";"985,00";"985,00";"15/08/2013 12:00";"CET";"702";"692071,00"
"GALLOO ILE DE FCE";"FR0000077232";"MLGRD";"Marché Libre Paris";"EUR";"6,66";"6,66";"6,66";"6,66";"15/05/2013 15:00";"CET";"14";"93,24"
"GALP ENERGIA-NOM";"PTGAL0AM0009";"GALP";"NYSE Euronext Lisbon";"EUR";"12,445";"12,595";"12,43";"12,475";"01/11/2013 16:35";"GMT";"1020559";"12763085,85"
"GAM HOLDING";"CH0102659627";"GAMz";"NYSE Arca Europe";"CHF";"17,15";"17,25";"17,05";"17,10";"01/11/2013 16:59";"CET";"31218";"535550,45"
"GAMELOFT SE";"FR0000079600";"GFT";"NYSE Euronext Paris";"EUR";"7,94";"7,98";"7,89";"7,96";"01/11/2013 17:35";"CET";"98411";"780422,38"
"GAMESA";"ES0143416115";"GAMe";"NYSE Arca Europe";"EUR";"1,61";"1,61";"1,61";"1,61";"05/06/2012 15:00";"CET";"506";"814,66"
"GAS NATURAL SDG";"ES0116870314";"GASe";"NYSE Arca Europe";"EUR";"14,77";"14,77";"14,77";"14,77";"05/09/2013 10:46";"CET";"339";"5007,03"
"GAS PLUS";"IT0004098510";"GSPm";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"GASCOGNE";"FR0000124414";"BI";"NYSE Euronext Paris";"EUR";"4,47";"4,49";"4,38";"4,40";"01/11/2013 17:17";"CET";"2277";"10114,06"
"GAUMONT";"FR0000034894";"GAM";"NYSE Euronext Paris";"EUR";"35,60";"35,60";"35,00";"35,00";"01/11/2013 17:29";"CET";"986";"34847,68"
"GAUSSIN";"FR0010342329";"ALGAU";"NYSE Alternext Paris";"EUR";"1,88";"1,89";"1,83";"1,87";"01/11/2013 17:27";"CET";"44093";"81905,41"
"GAUSSIN DS";"FR0011462795";"GAUDS";"NYSE Alternext Paris";"EUR";"0,01";"0,08";"0,01";"0,08";"01/11/2013 17:22";"CET";"793684";"49574,24"
"GBL";"BE0003797140";"GBLB";"NYSE Euronext Brussels";"EUR";"65,77";"65,93";"65,38";"65,42";"01/11/2013 17:35";"CET";"62022";"4067536,46"
"GDF SUEZ";"FR0010208488";"GSZ";"NYSE Euronext Paris,Brussels";"EUR";"18,415";"18,415";"18,255";"18,305";"01/11/2013 17:35";"CET";"1768623";"32397898,43"
"GDS (144A) RUSAL";"US9098831004";"RUAL";"NYSE Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"GDS (S) RUSAL";"US9098832093";"RUSAL";"NYSE Euronext Paris";"EUR";"4,47";"4,47";"4,47";"4,47";"01/11/2013 12:36";"CET";"189";"844,83"
"GDS MOULINS STRAS.";"FR0000064180";"GDMS";"NYSE Euronext Paris";"EUR";"1025,00";"1025,00";"1025,00";"1025,00";"08/10/2013 11:30";"CET";"1";"1025,00"
"GEA GRENOBL.ELECT.";"FR0000053035";"GEA";"NYSE Euronext Paris";"EUR";"80,80";"80,80";"80,65";"80,80";"01/11/2013 17:35";"CET";"458";"36994,70"
"GEA GROUP";"DE0006602006";"G1Ad";"NYSE Arca Europe";"EUR";"27,61";"27,61";"27,61";"27,61";"16/05/2013 14:03";"CET";"100";"2761,00"
"GEBERIT N";"CH0030170408";"GEBNz";"NYSE Arca Europe";"CHF";"229,90";"229,90";"229,90";"229,90";"05/03/2013 08:30";"CET";"7";"1609,30"
"GECI AVIATION";"FR0010449199";"ALRAI";"NYSE Alternext Paris";"EUR";"0,60";"0,62";"0,60";"0,61";"07/06/2012 13:52";"CET";"41919";"25578,01"
"GECI INTL";"FR0000079634";"GECP";"NYSE Euronext Paris";"EUR";"1,74";"1,84";"1,70";"1,79";"07/06/2012 15:46";"CET";"1064024";"1892142,03"
"GECINA NOM.";"FR0010040865";"GFC";"NYSE Euronext Paris";"EUR";"98,55";"98,55";"97,72";"97,90";"01/11/2013 17:35";"CET";"41626";"4083269,81"
"GEM DIAMONDS LTD";"VGG379591065";"GEMDl";"NYSE Arca Europe";"GBX";"126,00";"126,00";"126,00";"126,00";"07/06/2013 11:39";"CET";"101";"12726,00"
"GEMALTO";"NL0000400653";"GTO";"NYSE Euronext Amsterdam,Paris";"EUR";"83,08";"83,18";"81,65";"81,99";"01/11/2013 17:35";"CET";"219382";"18089448,74"
"GEMINA";"IT0001480323";"GEMm";"NYSE Arca Europe";"EUR";"1,563";"1,569";"1,563";"1,566";"07/08/2013 16:44";"CET";"16594";"25996,988"
"GENERAL DYNAMICS";"US3695501086";"GDn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"GENERAL ELECT.CERT";"BE0004609500";"GEBC";"NYSE Euronext Brussels";"EUR";"18,95";"19,00";"18,95";"19,00";"01/11/2013 16:30";"CET";"1583";"30039,45"
